"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","573.47","","","","2"
"1998","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","581.68","","","","2"
"1999","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","597.14","","","","2"
"2000","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","616.00","","","","2"
"2001","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","635.65","","","","2"
"2002","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","650.12","","","","2"
"2003","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","662.54","","","","2"
"2004","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","679.79","","","","2"
"2005","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","703.14","","","","2"
"2006","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","727.23","","","","2"
"2007","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","750.75","","","","2"
"2008","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","781.02","","","","2"
"2009","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","801.93","","","","2"
"2010","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","816.83","","","","2"
"2011","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","836.30","","","","2"
"2012","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","863.12","","","","2"
"2013","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","881.58","","","","2"
"2014","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","897.52","","","","2"
"2015","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","922.50","","","","2"
"2016","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","940.28","","","","2"
"2017","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","955.81","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","984.13","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196616","1.3.1.1.1.1","1015.60","","","","2"
"1997","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","524.40","","","","2"
"1998","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","534.45","","","","2"
"1999","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","549.81","","","","2"
"2000","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","562.50","","","","2"
"2001","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","576.80","","","","2"
"2002","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","594.42","","","","2"
"2003","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","600.00","","","","2"
"2004","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","605.60","","","","2"
"2005","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","634.55","","","","2"
"2006","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","649.88","","","","2"
"2007","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","673.20","","","","2"
"2008","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","700.00","","","","2"
"2009","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","720.00","","","","2"
"2010","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","727.50","","","","2"
"2011","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","743.20","","","","2"
"2012","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","768.00","","","","2"
"2013","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","770.00","","","","2"
"2014","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","799.88","","","","2"
"2015","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","807.60","","","","2"
"2016","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","820.40","","","","2"
"2017","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","840.00","","","","2"
"2018","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","865.26","","","","2"
"2019","Canada","2016A000011124","Median weekly wage rate","Both full- and part-time employees","Total employees, all industries","Both sexes","15 years and over","Current dollars","75","units","0","v2196618","1.5.1.1.1.1","900.00","","","","2"


